time,type,note,velocity
18.463,note_off,60,0
18.463,note_off,56,0
18.463,note_on,53,50
18.692,note_off,41,0
18.692,note_on,46,50
18.693,note_off,53,0
18.693,note_on,58,50
18.923,note_off,46,0
18.923,note_on,48,50
18.924,note_off,58,0
18.924,note_on,60,50
19.038,note_off,48,0
19.038,note_on,51,50
19.040,note_off,60,0
19.040,note_on,63,50
19.269,note_off,51,0
19.269,note_on,53,50
19.270,note_off,63,0
19.270,note_on,65,50
19.500,note_off,53,0
19.500,note_on,51,50
19.501,note_off,65,0
19.501,note_on,63,50
19.615,note_off,51,0
19.615,note_on,48,50
19.617,note_off,63,0
19.617,note_on,60,50
19.731,note_off,48,0
19.731,note_on,44,50
19.732,note_off,60,0
19.732,note_on,56,50
19.846,note_off,44,0
19.846,note_on,46,50
19.847,note_off,56,0
19.847,note_on,58,50
19.962,note_off,46,0
19.962,note_on,44,50
19.963,note_off,58,0
19.963,note_on,56,50
20.308,note_off,44,0
20.308,note_on,41,50
20.309,note_off,56,0
20.309,note_on,53,50
20.538,note_off,41,0
20.538,note_on,46,50
20.540,note_off,53,0
20.540,note_on,58,50
20.769,note_off,46,0
20.769,note_on,48,50
20.770,note_off,58,0
20.770,note_on,60,50
20.885,note_off,48,0
20.885,note_on,51,50
20.886,note_off,60,0
20.886,note_on,63,50
21.115,note_off,51,0
21.115,note_on,53,50
21.117,note_off,63,0
21.117,note_on,65,50
21.346,note_off,53,0
21.346,note_on,51,50
21.347,note_off,65,0
21.347,note_on,63,50
21.462,note_off,51,0
21.462,note_on,48,50
21.463,note_off,63,0
21.463,note_on,60,50
21.577,note_off,48,0
21.577,note_on,44,50
21.578,note_off,60,0
21.578,note_on,56,50
21.692,note_off,44,0
21.692,note_on,58,50
21.693,note_off,56,0
21.693,note_on,70,50
21.808,note_off,58,0
21.808,note_on,56,50
21.809,note_off,70,0
21.809,note_on,68,50
22.154,note_off,56,0
22.154,note_on,41,50
22.155,note_off,68,0
22.386,note_on,56,50
22.386,note_on,60,50
22.386,note_on,63,50
22.500,note_off,41,0
22.500,note_on,53,50
22.617,note_off,63,0
22.617,note_off,60,0
22.617,note_off,56,0
22.732,note_on,56,50
22.732,note_on,60,50
22.732,note_on,63,50
22.962,note_off,53,0
22.962,note_on,53,50
22.963,note_off,63,0
22.963,note_off,60,0
22.963,note_off,56,0
23.192,note_off,53,0
23.192,note_on,53,50
23.193,note_on,56,50
23.193,note_on,60,50
23.193,note_on,63,50
23.308,note_off,53,0
23.308,note_on,53,50
23.423,note_off,53,0
23.423,note_on,53,50
23.424,note_off,63,0
23.424,note_off,60,0
23.424,note_off,56,0
23.655,note_on,56,50
23.655,note_on,60,50
23.655,note_on,62,50
23.769,note_off,53,0
23.769,note_on,53,50
23.885,note_off,53,0
23.885,note_on,53,50
23.886,note_off,62,0
23.886,note_off,60,0
23.886,note_off,56,0
24.000,note_off,53,0
24.000,note_on,41,50
24.117,note_on,56,50
24.117,note_on,60,50
24.117,note_on,63,50
24.347,note_off,63,0
24.347,note_off,60,0
24.347,note_off,56,0
24.347,note_on,56,50
24.347,note_on,60,50
24.347,note_on,63,50
24.577,note_off,41,0
24.577,note_on,41,50
24.578,note_off,63,0
24.578,note_off,60,0
24.578,note_off,56,0
24.809,note_on,56,50
24.809,note_on,60,50
24.809,note_on,63,50
25.038,note_off,41,0
25.038,note_on,53,50
25.040,note_off,63,0
25.040,note_off,60,0
25.040,note_off,56,0
25.270,note_on,56,50
25.270,note_on,60,50
25.270,note_on,63,50
25.386,note_off,63,0
25.386,note_off,60,0
25.386,note_off,56,0
25.386,note_on,56,50
25.386,note_on,60,50
25.386,note_on,62,50
25.615,note_off,53,0
25.615,note_on,53,50
25.731,note_off,53,0
25.731,note_on,53,50
25.846,note_off,53,0
25.846,note_on,41,50
25.847,note_off,62,0
25.847,note_off,60,0
25.847,note_off,56,0
25.847,note_on,53,50
26.077,note_off,41,0
26.077,note_on,46,50
26.078,note_off,53,0
26.078,note_on,58,50
26.308,note_off,46,0
26.308,note_on,48,50
26.309,note_off,58,0
26.309,note_on,60,50
26.423,note_off,48,0
26.423,note_on,51,50
26.424,note_off,60,0
26.424,note_on,63,50
26.654,note_off,51,0
26.654,note_on,53,50
26.655,note_off,63,0
26.655,note_on,65,50
26.885,note_off,53,0
26.885,note_on,51,50
26.886,note_off,65,0
26.886,note_on,63,50
27.000,note_off,51,0
27.000,note_on,48,50
27.001,note_off,63,0
27.001,note_on,60,50
27.115,note_off,48,0
27.115,note_on,44,50
27.117,note_off,60,0
27.117,note_on,56,50
27.231,note_off,44,0
27.231,note_on,46,50
27.232,note_off,56,0
27.232,note_on,58,50
27.346,note_off,46,0
27.346,note_on,44,50
27.347,note_off,58,0
27.347,note_on,56,50
27.692,note_off,44,0
27.692,note_on,41,50
27.693,note_off,56,0
27.693,note_on,53,50
27.923,note_off,41,0
27.923,note_on,46,50
27.924,note_off,53,0
27.924,note_on,58,50
28.154,note_off,46,0
28.154,note_on,48,50
28.155,note_off,58,0
28.155,note_on,60,50
28.269,note_off,48,0
28.269,note_on,51,50
28.270,note_off,60,0
28.270,note_on,63,50
28.500,note_off,51,0
28.500,note_on,53,50
28.501,note_off,63,0
28.501,note_on,65,50
28.731,note_off,53,0
28.731,note_on,51,50
28.732,note_off,65,0
28.732,note_on,63,50
28.846,note_off,51,0
28.846,note_on,48,50
28.847,note_off,63,0
28.847,note_on,60,50
28.962,note_off,48,0
28.962,note_on,44,50
28.963,note_off,60,0
28.963,note_on,56,50
29.077,note_off,44,0
29.077,note_on,58,50
29.078,note_off,56,0
29.078,note_on,70,50
29.192,note_off,58,0
29.192,note_on,56,50
29.193,note_off,70,0
29.193,note_on,68,50
29.538,note_off,56,0
29.540,note_off,68,0
29.540,note_on,65,50
30.462,note_on,38,50
30.577,note_off,38,0
30.692,note_on,38,50
30.808,note_off,38,0
30.923,note_on,38,50
31.038,note_off,38,0
31.154,note_on,38,50
31.269,note_off,38,0
31.269,note_on,38,50
31.270,note_off,65,0
31.385,note_on,53,50
31.385,note_on,60,50
31.385,note_off,38,0
31.385,note_on,36,50
31.386,note_on,68,50
31.386,note_on,72,50
31.386,note_on,77,50
31.500,note_off,36,0
31.615,note_on,42,50
31.731,note_off,42,0
31.846,note_off,60,0
31.846,note_off,53,0
31.846,note_on,52,50
31.846,note_on,60,50
31.846,note_on,36,50
31.846,note_on,35,50
31.847,note_off,77,0
31.847,note_off,72,0
31.847,note_off,68,0
31.847,note_on,72,50
31.847,note_on,76,50
31.847,note_on,79,50
31.962,note_off,35,0
31.962,note_off,36,0
32.077,note_on,42,50
32.192,note_off,42,0
32.308,note_off,60,0
32.308,note_off,52,0
32.308,note_on,51,50
32.308,note_on,60,50
32.308,note_on,36,50
32.309,note_off,79,0
32.309,note_off,76,0
32.309,note_off,72,0
32.309,note_on,72,50
32.309,note_on,75,50
32.309,note_on,80,50
32.423,note_off,36,0
32.538,note_on,42,50
